ACOCE,PCT_COMP
2253,99.9
2254,99.9
2255,99.9
2256,99.4
2257,99.9
2258,99.8
2259,99.9
2260,99.9
2261,99.9
2262,99.9
2263,99.9
2264,99.9
2265,99.9
2266,99.9
2267,99.9
2268,99.9
2269,99.9
2270,99.9
2271,99.9
2272,99.9
2273,99.7
2274,99.6
2275,99.6
2276,99.9
2277,99.8
2278,99.7
2279,99.9
2280,99.6
2281,99.3
2282,99.9
2283,99.3
2284,99.8
2285,99.9
2286,99.9
2287,99.9
2288,99.9
2289,99.9
2290,99.9
2291,99.9
2292,99.8
2293,99.9
2294,99.9
2295,99.9
2296,99.9
2297,99.9
2355,99.8
2356,99.7
2357,99.5
2358,99.5
2359,99.9
2360,99.1
2361,99.8
2362,99.6
2363,99.8
2364,99.9
2365,99.9
2366,99.8
2367,99.9
2368,99.9
2369,99.9
2370,99.9
2371,99.7
2372,99.9
2373,99.9
2374,99.7
2375,99.2
2376,99.2
2377,99.9
2378,99.9
2379,99.9
2380,99.9
2381,99.3
2382,99.8
2383,99.6
2384,99.8
2385,99.9
2386,99.6
2387,99.9
2388,99.7
2389,99.9
2390,99.8
2556,99.9
2557,99.9
2558,99.9
2559,99.9
2560,99.9
2561,99.8
2562,99.9
2563,99.9
2564,99.9
2565,99.9
2566,99.9
2567,99.9
2568,99.9
2569,99.9
2570,99.9
2571,99.9
2572,99.9
2573,99.8
2574,99.8
2575,99.9
2576,99.9
2577,99.9
2578,99.9
2579,99.9
2580,99.9
2581,99.9
2582,99.8
2583,99.9
2584,99.9
2585,99.9
2586,99.9
2587,99.9
2901,99.6
2902,96.1
2904,99.5
2905,99.7
2906,99.4
2907,99.5
2908,99.4
2909,99.9
2910,99.9
2966,99.2
2967,99.9
2968,99.9
2969,99.9
2970,99.8
2971,99.4
2972,99.9
2973,99.9
2974,99.9
2975,99.9
2976,99.1
2977,99.9
2978,99.9
2979,99.8
2980,99.9
2981,98.4
2982,99.9
2983,99.7
2984,99.9
2985,99.3
2986,99.8
2987,99.9
2988,99.8
2989,99.7
2990,99.8
2991,88.8
2992,99.2
2993,99.9
2994,99.9
2995,99.6
2996,99.9
2997,99.9
2998,99.2
3105,99.9
3106,99.9
3107,99.9
3108,99.9
3109,99.6
3110,94.2
3154,99.8
3155,99.9
3156,99.2
3157,99.8
3158,99.9
3159,99.9
3160,99.7
3162,99.7
3163,99.9
3164,99.9
3165,99.9
3166,99.9
3167,99.9
3168,99.9
3169,99.2
3170,99.9
3171,99.2
3172,99.9
3173,99.7
3174,99.5
3175,99.9
3176,99.9
3177,99.9
3178,99.9
3179,99.9
3180,99.8
3181,99.9
3182,99.9
3183,99.9
3184,99.9
3185,99.9
3186,99.9
3187,99.8
3188,99.9
3189,99.9
3190,99.6
3191,97.9
3192,99.9
3193,99.9
3194,99.9
3195,98.6
3196,99.9
3197,99.9
3198,99.8
3255,99.8
3256,99.9
3257,99.9
3258,99.8
3259,99.8
3260,99.6
3261,99.8
3263,99.8
3264,99.7
3265,99.7
3266,99.8
3267,99.9
3268,99.9
3269,99.9
3270,99.8
3271,99.9
3272,99.9
3273,99.7
3274,99.9
3275,99.9
3276,99.9
3277,99.8
3278,99.9
3279,99.9
3280,99.9
3281,99.9
3282,99.9
3283,99.9
3284,99.9
3285,99.9
3286,99.7
3287,99.9
3288,99.9
3289,99.9
3290,99.8
3291,99.9
3292,99.9
3293,99.9
3294,99.9
3295,99.8
3296,99.7
3297,99.9
3298,99.9
